station id, station name, valid,povp. tlak [hPa],količina padavin [mm],hitrost vetra [m/s]
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 00:00,983,0,4.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 00:10,983,,3.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 00:20,983,,2.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 00:30,983,1.3,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 00:40,983,,2.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 00:50,983,,2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 01:00,983,1.6,4.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 01:10,984,,2.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 01:20,984,,3.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 01:30,984,1.2,4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 01:40,984,,2.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 01:50,984,,2.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 02:00,984,0.9,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 02:10,984,,2.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 02:20,984,,2.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 02:30,984,0.7,2.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 02:40,985,,2.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 02:50,985,,3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 03:00,985,0.5,2.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 03:10,985,,3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 03:20,985,,2.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 03:30,984,1.1,2.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 03:40,984,,3.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 03:50,984,,2.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 04:00,984,0.3,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 04:10,984,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 04:20,984,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 04:30,984,0.1,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 04:40,984,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 04:50,983,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 05:00,983,0.1,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 05:10,983,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 05:20,983,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 05:30,984,0,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 05:40,984,,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 05:50,984,,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 06:00,984,0,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 06:10,984,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 06:20,984,,2.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 06:30,984,0,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 06:40,984,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 06:50,984,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 07:00,984,0,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 07:10,984,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 07:20,984,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 07:30,984,0,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 07:40,984,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 07:50,984,,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 08:00,984,0,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 08:10,984,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 08:20,984,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 08:30,984,0,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 08:40,984,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 08:50,984,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 09:00,984,0,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 09:10,984,,0.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 09:20,984,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 09:30,984,0,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 09:40,984,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 09:50,984,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 10:00,984,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 10:10,984,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 10:20,984,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 10:30,984,0,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 10:40,984,,2.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 10:50,984,,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 11:00,984,0,1.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 11:10,984,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 11:20,984,,1.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 11:30,984,0,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 11:40,984,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 11:50,984,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 12:00,984,0,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 12:10,983,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 12:20,983,,1.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 12:30,983,0,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 12:40,983,,2.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 12:50,983,,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 13:00,983,0,3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 13:10,983,,2.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 13:20,983,,3.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 13:30,983,0,3.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 13:40,983,,3.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,02/08/2022 13:50,983,,3.3
,,,,,
